Time,Delay,Impulse,Response,Elapsed,Clicks,Mouse
1461676567,0.000000,8.000000,0.926612,1.443726,1,304
1461676571,0.000000,8.000000,0.720850,4.998322,3,2670
1461676580,50.000000,8.000000,-1.000000,1.871689,1,646
1461676584,0.000000,4.000000,-1.000000,1.609222,1,629
1461676586,400.000000,4.000000,-1.000000,4.401459,1,2397
1461676593,75.000000,8.000000,-1.000000,4.676086,3,2417
1461676598,75.000000,4.000000,-1.000000,1.559174,2,898
1461676600,300.000000,12.000000,-1.000000,30.000183,7,12113
1461676631,125.000000,8.000000,-1.000000,7.239258,6,2827
1461676639,200.000000,12.000000,-1.000000,24.796997,14,22327
1461676665,75.000000,8.000000,-1.000000,1.970245,1,704
1461676668,175.000000,4.000000,-1.000000,4.699799,2,1573
1461676673,150.000000,4.000000,-1.000000,2.144806,1,511
1461676676,400.000000,4.000000,-1.000000,12.850891,10,3887
1461676689,175.000000,12.000000,-1.000000,8.908447,5,6932
1461676699,100.000000,12.000000,-1.000000,14.256500,17,7821
1461676713,0.000000,4.000000,0.308642,3.118561,4,1013
1461676723,175.000000,4.000000,-1.000000,3.664459,2,1291
1461676728,25.000000,12.000000,-1.000000,7.877075,11,4078
1461676736,200.000000,8.000000,-1.000000,1.507477,1,604
1461676738,0.000000,4.000000,-1.000000,1.392120,2,393
1461676740,300.000000,4.000000,-1.000000,2.042236,1,714
1461676743,75.000000,4.000000,-1.000000,1.541687,2,367
1461676745,300.000000,8.000000,-1.000000,11.771118,10,4734
1461676757,400.000000,8.000000,-1.000000,8.074890,1,3671
1461676766,50.000000,8.000000,-1.000000,2.271210,2,320
1461676768,50.000000,4.000000,0.713306,1.129120,1,509
1461676772,125.000000,4.000000,-1.000000,1.422089,1,1026
1461676774,175.000000,8.000000,-1.000000,7.336609,8,3282
1461676782,125.000000,4.000000,-1.000000,1.077515,1,576
1461676806,400.000000,12.000000,-1.000000,30.000549,22,8958
1461676836,200.000000,4.000000,-1.000000,1.782288,1,618
1461676839,25.000000,4.000000,0.684499,2.271667,5,773
1461676843,100.000000,8.000000,0.138546,4.250275,6,2094
1461676852,25.000000,12.000000,-1.000000,1.918976,3,1053
1461676854,50.000000,4.000000,-1.000000,0.712463,1,150
1461676855,150.000000,4.000000,-1.000000,1.665039,3,649
1461676857,0.000000,12.000000,-1.000000,1.198853,2,651
1461676859,125.000000,12.000000,-1.000000,2.203186,2,716
1461676862,0.000000,12.000000,-1.000000,8.671692,14,3341
1461676871,175.000000,8.000000,-1.000000,2.803650,2,1510
1461676874,50.000000,12.000000,0.521262,1.449036,1,256
1461676878,200.000000,8.000000,0.663237,4.393066,1,2046
1461676886,300.000000,12.000000,-1.000000,30.001404,23,11319
1461676917,75.000000,12.000000,-1.000000,3.859070,5,1154
1461676922,150.000000,8.000000,-1.000000,1.917664,2,1097
1461676924,25.000000,8.000000,-1.000000,2.265564,3,1023
1461676927,100.000000,4.000000,-1.000000,0.866150,1,471
1461676928,300.000000,12.000000,-1.000000,5.192627,3,1733
1461676934,175.000000,8.000000,0.482853,2.492920,3,523
1461676938,125.000000,8.000000,-1.000000,6.606750,7,3164
1461676945,25.000000,8.000000,-1.000000,3.244934,5,1848
1461676949,75.000000,12.000000,-1.000000,1.393250,1,303
1461676956,400.000000,8.000000,0.056242,20.405518,41,13211
1461676980,125.000000,8.000000,-1.000000,1.834900,1,1049
1461676982,175.000000,12.000000,-1.000000,15.414185,25,10091
1461676998,300.000000,8.000000,-1.000000,15.903931,27,8825
1461677015,100.000000,4.000000,-1.000000,1.896851,1,613
1461677017,150.000000,8.000000,-1.000000,5.615173,14,2586
1461677024,300.000000,4.000000,-1.000000,2.419495,5,850
1461677046,300.000000,4.000000,-1.000000,7.544067,13,2596
1461677054,25.000000,8.000000,0.692730,2.023865,3,810
1461677058,75.000000,12.000000,-1.000000,3.664734,7,2103
1461677063,300.000000,8.000000,0.085734,9.261658,26,5037
1461677075,25.000000,4.000000,-1.000000,0.967102,1,560
1461677076,25.000000,8.000000,-1.000000,0.580505,1,324
1461677077,25.000000,4.000000,-1.000000,0.628723,1,314
1461677078,0.000000,12.000000,-1.000000,0.410278,1,45
1461677079,175.000000,12.000000,-1.000000,1.866333,4,1494
1461677082,175.000000,8.000000,-1.000000,2.127625,3,1192
1461677084,200.000000,4.000000,-1.000000,1.462036,2,939
1461677086,100.000000,12.000000,0.689986,0.879700,2,337
1461677089,125.000000,8.000000,0.932099,1.176636,1,764
1461677093,200.000000,12.000000,-1.000000,7.501343,10,4725
1461677101,125.000000,8.000000,-1.000000,1.432983,3,455
1461677103,175.000000,4.000000,0.520576,3.322266,7,1415
1461677108,175.000000,4.000000,-1.000000,1.417725,2,891
1461677110,75.000000,8.000000,0.660494,1.080200,1,528
