Time,Delay,Impulse,Response,Elapsed,Clicks,Mouse
1461676567,0.000000,8.000000,0.919753,0.619568,1,74
1461676575,0.000000,8.000000,0.912208,1.359573,1,381
1461676580,150.000000,12.000000,-1.000000,3.317963,1,1827
1461676586,25.000000,12.000000,0.709877,3.690826,3,1992
1461676593,0.000000,12.000000,-1.000000,1.248062,1,490
1461676596,75.000000,8.000000,-1.000000,0.954758,1,112
1461676598,125.000000,12.000000,0.510288,2.391602,1,1353
1461676602,150.000000,4.000000,-1.000000,1.664368,1,570
1461676605,75.000000,8.000000,-1.000000,1.584579,3,444
1461676607,75.000000,12.000000,0.519890,7.002350,10,3983
1461676620,125.000000,4.000000,-1.000000,1.593842,1,633
1461676623,25.000000,4.000000,-1.000000,0.968384,1,103
1461676624,200.000000,12.000000,-1.000000,3.772522,5,2298
1461676628,300.000000,8.000000,-1.000000,5.359482,6,3458
1461676634,200.000000,4.000000,0.311386,2.508316,1,696
1461676640,125.000000,4.000000,-1.000000,1.781952,1,644
1461676643,25.000000,12.000000,-1.000000,5.658325,14,2628
1461676649,300.000000,8.000000,-1.000000,5.938385,7,3924
1461676656,25.000000,8.000000,-1.000000,1.596741,1,690
1461676658,175.000000,12.000000,-1.000000,10.496552,17,6459
1461676669,50.000000,4.000000,-1.000000,1.534698,1,442
1461676672,300.000000,12.000000,-1.000000,5.003113,4,2005
1461676677,200.000000,4.000000,-1.000000,1.914734,1,210
1461676679,0.000000,4.000000,-1.000000,1.332611,1,350
1461676681,300.000000,4.000000,-1.000000,4.686127,8,1683
1461676687,400.000000,12.000000,-1.000000,14.433472,36,6397
1461676702,100.000000,8.000000,-1.000000,0.637115,1,192
1461676703,150.000000,12.000000,-1.000000,3.158661,7,1486
1461676707,50.000000,4.000000,-1.000000,1.306702,2,425
1461676709,150.000000,8.000000,-1.000000,2.291595,6,1331
1461676733,175.000000,12.000000,-1.000000,1.946045,3,657
1461676736,125.000000,12.000000,-1.000000,2.830383,10,1572
1461676739,175.000000,12.000000,-1.000000,4.125397,4,2263
1461676744,25.000000,12.000000,-1.000000,2.399139,7,1300
1461676747,25.000000,8.000000,-1.000000,1.066956,1,396
1461676748,125.000000,4.000000,0.505487,1.669983,2,625
1461676753,300.000000,12.000000,-1.000000,7.275482,24,2883
1461676761,150.000000,4.000000,-1.000000,1.081635,1,416
1461676762,200.000000,8.000000,-1.000000,3.725220,7,2349
1461676766,150.000000,4.000000,-1.000000,2.378174,3,916
1461676769,125.000000,4.000000,-1.000000,1.251587,1,349
1461676771,300.000000,4.000000,-1.000000,4.241547,12,1682
1461676776,300.000000,12.000000,0.480796,2.963501,6,1008
1461676782,0.000000,4.000000,-1.000000,0.963837,1,558
1461676783,25.000000,8.000000,-1.000000,0.621613,1,63
1461676784,300.000000,4.000000,0.517147,2.418945,4,478
1461676789,25.000000,12.000000,-1.000000,3.998474,10,1697
