Time,Delay,Impulse,Response,Elapsed,Clicks,Mouse
1461326244,0.000000,8.000000,0.919067,3.686569,4,1862
1461326256,0.000000,8.000000,0.913580,1.519531,1,1296
1461326268,25.000000,4.000000,0.903292,0.892838,1,531
1461326273,0.000000,4.000000,-1.000000,0.828186,1,527
1461326277,200.000000,4.000000,-1.000000,2.924271,1,1793
1461326281,75.000000,4.000000,-1.000000,1.991959,1,471
1461326284,300.000000,8.000000,0.299726,16.489532,10,10357
1461326303,200.000000,12.000000,-1.000000,30.001083,19,15841
1461326334,0.000000,4.000000,-1.000000,1.749268,1,548
1461326336,50.000000,8.000000,-1.000000,1.223114,1,352
1461326338,150.000000,12.000000,-1.000000,7.004272,8,5055
1461326345,50.000000,8.000000,0.478738,2.404938,1,997
1461326352,50.000000,12.000000,-1.000000,1.108032,1,675
1461326353,100.000000,12.000000,-1.000000,1.988739,2,730
1461326356,200.000000,8.000000,-1.000000,11.656250,11,5416
1461326368,300.000000,12.000000,-1.000000,30.000488,33,16367
1461326398,125.000000,8.000000,-1.000000,5.300110,5,3341
1461326404,50.000000,4.000000,-1.000000,1.631958,2,743
1461326406,75.000000,12.000000,-1.000000,2.220215,3,1646
1461326409,200.000000,4.000000,-1.000000,1.064362,1,523
1461326410,0.000000,4.000000,0.890946,0.871094,1,269
1461326414,300.000000,12.000000,-1.000000,30.000732,21,24653
1461326445,400.000000,4.000000,0.307956,7.186981,9,3263
1461326453,300.000000,12.000000,0.142661,30.000153,45,24241
1461326485,150.000000,8.000000,-1.000000,5.903320,5,3138
1461326491,125.000000,8.000000,-1.000000,6.935394,7,3825
1461326499,75.000000,12.000000,-1.000000,1.569794,3,704
1461326501,125.000000,8.000000,-1.000000,0.566315,1,199
1461326502,75.000000,8.000000,-1.000000,0.969757,2,339
1461326503,50.000000,12.000000,-1.000000,4.876862,11,3606
1461326528,0.000000,8.000000,-1.000000,1.767426,1,588
1461326531,100.000000,4.000000,-1.000000,1.412720,1,1144
1461326532,150.000000,4.000000,-1.000000,1.278137,3,661
1461326534,125.000000,4.000000,-1.000000,2.798553,6,991
1461326537,175.000000,8.000000,-1.000000,3.188202,6,2045
1461326541,25.000000,8.000000,-1.000000,0.578888,1,276
1461326542,200.000000,8.000000,-1.000000,4.189423,6,2842
1461326546,50.000000,12.000000,-1.000000,2.372437,8,1500
1461326549,25.000000,12.000000,0.941701,0.953003,1,408
1461326552,50.000000,8.000000,-1.000000,1.696075,1,1017
1461326554,400.000000,8.000000,-1.000000,19.834961,17,15772
1461326574,150.000000,12.000000,0.699588,2.919067,4,1771
1461326579,400.000000,8.000000,-1.000000,9.193970,7,6265
1461326589,200.000000,4.000000,-1.000000,2.498230,1,1060
1461326592,400.000000,8.000000,-1.000000,16.750977,27,11934
1461326609,100.000000,12.000000,0.926612,1.165710,2,626
1461326612,75.000000,4.000000,-1.000000,1.842651,2,1365
1461326614,100.000000,4.000000,-1.000000,2.006165,2,630
1461326616,300.000000,4.000000,0.884774,3.495239,5,1746
1461326620,200.000000,8.000000,0.832647,2.075256,6,917
1461326624,25.000000,4.000000,-1.000000,1.796875,1,852
1461326626,175.000000,12.000000,-1.000000,9.746887,19,7225
1461326636,400.000000,4.000000,-1.000000,16.464172,42,6254
1461326653,75.000000,8.000000,-1.000000,1.548218,1,985
1461326655,125.000000,12.000000,-1.000000,2.030273,6,1525
1461326657,25.000000,8.000000,-1.000000,0.568481,1,120
1461326658,25.000000,4.000000,-1.000000,0.659119,1,254
1461326659,50.000000,4.000000,-1.000000,0.833801,1,536
1461326661,125.000000,12.000000,-1.000000,6.395508,18,5961
1461326667,75.000000,12.000000,-1.000000,1.368408,1,740
1461326690,125.000000,4.000000,-1.000000,3.106201,2,1028
1461326693,100.000000,4.000000,-1.000000,1.336609,1,1112
1461326695,100.000000,4.000000,0.944444,1.070007,2,280
1461326697,175.000000,12.000000,-1.000000,4.582458,10,3887
1461326702,400.000000,12.000000,0.786694,18.760376,55,11836
1461326724,400.000000,4.000000,-1.000000,4.361755,5,2865
1461326729,400.000000,8.000000,-1.000000,12.929504,32,8571
1461326742,0.000000,12.000000,-1.000000,0.909119,3,229
1461326743,0.000000,12.000000,0.479424,1.401978,2,538
1461326746,400.000000,12.000000,-1.000000,30.001282,66,24966
1461326777,0.000000,8.000000,0.711248,1.579041,3,911
1461326780,100.000000,8.000000,-1.000000,5.650696,12,3502
1461326786,25.000000,8.000000,0.927298,1.460999,1,317
1461326788,75.000000,12.000000,-1.000000,12.127014,27,10627
1461326801,100.000000,4.000000,-1.000000,1.324097,1,557
1461326802,100.000000,8.000000,0.732510,2.086121,3,261
1461326806,200.000000,12.000000,0.310700,6.258484,13,5960
1461326813,175.000000,8.000000,-1.000000,1.278687,4,1284
1461326815,400.000000,12.000000,-1.000000,30.000916,55,27798
1461326846,150.000000,4.000000,-1.000000,1.427063,1,894
1461326848,125.000000,4.000000,-1.000000,1.776672,1,756
1461326850,50.000000,8.000000,-1.000000,1.375061,4,979
1461326852,200.000000,8.000000,-1.000000,1.416199,1,635
1461326853,125.000000,12.000000,0.547325,0.855835,2,442
1461326857,300.000000,4.000000,-1.000000,2.859192,5,1089
1461326860,25.000000,12.000000,-1.000000,5.372925,7,4195
1461326866,175.000000,4.000000,0.494513,1.801392,2,658
1461326870,75.000000,8.000000,-1.000000,3.440063,6,1454
1461326874,175.000000,8.000000,0.301783,2.055969,3,938
1461326877,150.000000,12.000000,-1.000000,2.187317,4,1606
