Time,Delay,Impulse,Response,Elapsed,Triggers,Thumbstick
1491846654,0.000000,8.000000,0.912099,1.680079,3,74
1491846665,0.000000,8.000000,0.919697,0.928085,1,17
1491846671,150.000000,8.000000,0.102903,1.725780,2,37
1491846675,175.000000,4.000000,-1.000000,3.634689,3,30
1491846679,0.000000,12.000000,0.294347,3.363922,2,55
1491846686,100.000000,12.000000,-1.000000,2.747753,1,32
1491846689,300.000000,8.000000,-1.000000,5.187870,2,30
1491846695,25.000000,4.000000,-1.000000,1.380852,1,7
1491846697,100.000000,4.000000,0.107987,1.067993,1,26
1491846702,150.000000,4.000000,-1.000000,3.241760,2,29
1491846705,125.000000,4.000000,-1.000000,2.117012,1,15
1491846708,175.000000,12.000000,-1.000000,1.038788,1,0
1491846710,75.000000,4.000000,-1.000000,1.518829,1,8
1491846712,200.000000,4.000000,-1.000000,3.643799,1,26
1491846716,400.000000,12.000000,-1.000000,3.663826,2,28
1491846720,75.000000,8.000000,-1.000000,2.378899,1,15
1491846723,100.000000,12.000000,0.114890,2.299759,1,36
1491846728,25.000000,12.000000,-1.000000,1.493103,2,9
1491846730,25.000000,4.000000,0.717098,1.436996,1,56
1491846736,50.000000,4.000000,-1.000000,1.549911,1,15
1491846738,150.000000,4.000000,0.531352,2.105690,2,28
1491846743,50.000000,4.000000,-1.000000,1.573868,2,6
1491846746,150.000000,8.000000,-1.000000,2.317863,3,12
1491846748,0.000000,4.000000,0.317420,1.515907,2,26
1491846752,200.000000,12.000000,-1.000000,3.123909,1,29
1491846755,400.000000,8.000000,-1.000000,3.743858,2,26
1491846760,300.000000,4.000000,-1.000000,1.903732,1,11
1491846762,75.000000,12.000000,-1.000000,1.522842,1,5
1491846764,400.000000,8.000000,0.124372,7.547821,2,75
1491846777,50.000000,8.000000,-1.000000,1.557785,1,20
1491846803,25.000000,8.000000,-1.000000,0.512833,1,0
1491846804,200.000000,8.000000,-1.000000,2.100006,1,21
1491846806,125.000000,4.000000,0.513540,2.392883,3,31
1491846810,300.000000,4.000000,-1.000000,0.839783,1,0
1491846812,50.000000,4.000000,-1.000000,0.941803,2,4
1491846813,300.000000,8.000000,-1.000000,4.035721,1,38
1491846817,100.000000,4.000000,-1.000000,1.367828,3,10
1491846819,175.000000,8.000000,-1.000000,1.686768,1,21
1491846821,200.000000,8.000000,0.085636,1.763840,1,28
1491846824,175.000000,12.000000,-1.000000,2.118927,2,40
1491846827,150.000000,8.000000,-1.000000,0.997849,1,12
1491846828,75.000000,4.000000,-1.000000,1.318863,1,28
1491846830,175.000000,12.000000,-1.000000,1.814758,1,28
1491846832,400.000000,8.000000,-1.000000,6.963989,1,81
1491846839,400.000000,4.000000,-1.000000,3.851837,2,19
1491846843,150.000000,12.000000,-1.000000,2.653763,3,17
1491846846,125.000000,12.000000,-1.000000,1.076828,2,7
1491846848,400.000000,8.000000,-1.000000,6.147797,3,44
1491846855,50.000000,12.000000,-1.000000,1.437805,1,13
1491846856,150.000000,8.000000,-1.000000,2.457809,1,14
1491846859,200.000000,8.000000,-1.000000,3.043976,2,14
1491846863,125.000000,8.000000,-1.000000,2.248871,1,7
1491846865,100.000000,8.000000,-1.000000,2.427795,1,4
1491846868,300.000000,8.000000,0.126300,1.423599,1,16
1491846874,25.000000,4.000000,-1.000000,2.400955,1,19
1491846877,0.000000,12.000000,-1.000000,1.676071,1,17
1491846879,300.000000,8.000000,-1.000000,1.087906,1,3
1491846880,175.000000,4.000000,-1.000000,1.906769,1,17
1491846882,75.000000,12.000000,0.537071,0.914719,1,24
1491846886,100.000000,4.000000,-1.000000,2.771942,3,20
1491846910,25.000000,12.000000,-1.000000,1.164825,2,5
1491846912,150.000000,12.000000,-1.000000,2.590027,3,26
1491846915,100.000000,8.000000,-1.000000,1.375793,1,12
1491846917,200.000000,8.000000,-1.000000,1.579956,2,18
1491846919,50.000000,12.000000,-1.000000,2.013763,4,20
1491846921,25.000000,8.000000,-1.000000,1.048767,1,10
1491846923,400.000000,4.000000,-1.000000,3.679688,1,28
1491846927,50.000000,8.000000,-1.000000,0.961884,1,9
1491846928,25.000000,8.000000,-1.000000,1.412750,2,20
1491846930,0.000000,4.000000,-1.000000,1.591980,3,25
1491846932,200.000000,8.000000,-1.000000,1.635742,1,21
1491846934,50.000000,12.000000,0.495581,1.313843,2,27
1491846937,0.000000,8.000000,0.499014,1.535858,1,32
1491846941,50.000000,4.000000,0.518470,0.661926,1,17
1491846943,400.000000,12.000000,0.789481,10.959778,12,68
1491846961,0.000000,8.000000,-1.000000,1.275818,1,2
1491846963,300.000000,12.000000,-1.000000,3.515686,2,30
1491846967,200.000000,4.000000,-1.000000,2.991730,1,12
1491846970,125.000000,8.000000,-1.000000,1.484772,1,12
1491846972,75.000000,8.000000,0.480165,1.878754,1,20
1491846977,175.000000,12.000000,0.494175,1.654785,1,24
1491846981,150.000000,4.000000,-1.000000,1.037781,1,8
1491846983,300.000000,12.000000,-1.000000,1.359802,1,7
1491846984,75.000000,4.000000,-1.000000,0.474854,1,0
1491846985,75.000000,8.000000,-1.000000,1.002716,1,6
1491846986,150.000000,12.000000,-1.000000,2.189819,1,18
1491846989,25.000000,12.000000,-1.000000,1.392731,3,19
1491846991,50.000000,4.000000,-1.000000,1.085632,2,19
1491846992,125.000000,12.000000,-1.000000,1.752899,2,15
1491846995,50.000000,12.000000,-1.000000,3.133850,7,30
1491847020,300.000000,8.000000,-1.000000,2.047882,1,9
1491847022,0.000000,12.000000,-1.000000,1.268097,1,14
1491847024,0.000000,8.000000,-1.000000,0.939941,1,11
1491847025,400.000000,4.000000,-1.000000,2.480042,1,18
1491847028,150.000000,4.000000,-1.000000,1.585785,1,9
1491847030,200.000000,12.000000,-1.000000,1.679871,1,8
1491847032,125.000000,12.000000,-1.000000,1.988617,2,12
1491847034,300.000000,12.000000,0.277561,1.720001,2,32
