Time,Delay,Impulse,Response,Elapsed,Triggers,Thumbstick
1492016613,0.000000,8.000000,0.700963,1.899889,2,59
1492016629,0.000000,8.000000,0.702837,2.679993,4,35
1492016638,150.000000,4.000000,-1.000000,6.761635,3,68
1492016646,175.000000,4.000000,0.303528,13.886597,8,138
1492016664,0.000000,8.000000,-1.000000,2.083900,1,12
1492016666,125.000000,8.000000,0.475265,3.124626,1,54
1492016675,300.000000,4.000000,-1.000000,11.287636,4,96
1492016687,75.000000,12.000000,-1.000000,4.106697,7,47
1492016691,150.000000,12.000000,-1.000000,9.669525,8,138
1492016702,75.000000,12.000000,-1.000000,4.306694,3,37
1492016706,125.000000,12.000000,0.297107,3.976822,2,52
1492016715,200.000000,8.000000,-1.000000,4.519836,3,19
1492016720,50.000000,8.000000,-1.000000,2.497604,1,10
1492016725,0.000000,4.000000,-1.000000,1.039886,1,5
1492016727,25.000000,4.000000,-1.000000,1.896835,1,8
1492016729,125.000000,8.000000,-1.000000,2.488831,1,14
1492016732,25.000000,12.000000,0.314881,3.392670,3,47
1492016741,175.000000,8.000000,0.308673,6.930588,4,410
1492016751,75.000000,12.000000,0.522022,1.974640,1,26
1492016756,75.000000,8.000000,0.493046,3.154495,1,27
1492016762,400.000000,12.000000,0.100927,30.000046,4,19296
1492016796,75.000000,4.000000,-1.000000,2.998718,1,26
1492016800,75.000000,8.000000,-1.000000,1.210846,1,11
1492016802,200.000000,8.000000,0.504921,7.435883,5,6068
1492016812,50.000000,12.000000,-1.000000,3.869736,3,30
1492016816,200.000000,12.000000,-1.000000,1.959854,1,11
1492016819,300.000000,8.000000,-1.000000,2.763794,1,32
1492016822,300.000000,8.000000,-1.000000,5.963745,2,53
1492016828,150.000000,12.000000,-1.000000,2.041931,1,18
1492016831,150.000000,4.000000,-1.000000,1.649796,1,18
1492016853,200.000000,4.000000,-1.000000,2.007874,1,3
1492016856,100.000000,4.000000,0.918897,1.347778,1,20
1492016863,150.000000,12.000000,-1.000000,3.049683,1,8
1492016867,125.000000,12.000000,-1.000000,1.456757,1,2
1492016868,125.000000,4.000000,0.500574,2.516785,1,5
1492016874,200.000000,8.000000,-1.000000,2.599854,1,18
