Time,Delay,Impulse,Response,Elapsed,Triggers,Thumbstick
1490728331,0.000000,8.000000,0.934750,0.884136,1,30
1490728342,0.000000,8.000000,0.923743,1.135990,3,51
1490728356,400.000000,8.000000,0.311871,4.663773,6,73
1490728365,400.000000,12.000000,-1.000000,3.647774,1,22
1490728369,300.000000,8.000000,-1.000000,2.227753,1,2
1490728372,175.000000,8.000000,-1.000000,1.262825,1,3
1490728373,300.000000,4.000000,-1.000000,2.051964,1,8
1490728376,150.000000,12.000000,0.305486,0.921890,1,18
1490728381,50.000000,4.000000,0.506285,1.213844,1,12
1490728387,25.000000,12.000000,-1.000000,1.188957,1,6
1490728389,400.000000,12.000000,-1.000000,9.627769,5,40
1490728399,200.000000,4.000000,-1.000000,2.803963,1,19
1490728402,0.000000,4.000000,-1.000000,2.747849,2,9
1490728405,25.000000,4.000000,-1.000000,1.696785,1,13
1490728407,75.000000,12.000000,-1.000000,0.834724,1,4
1490728408,25.000000,12.000000,-1.000000,0.580986,1,3
1490728409,50.000000,12.000000,-1.000000,0.597885,1,6
1490728410,150.000000,8.000000,-1.000000,1.725662,1,18
1490728412,0.000000,12.000000,-1.000000,1.203972,1,12
1490728414,50.000000,8.000000,-1.000000,1.073708,1,17
1490728415,0.000000,4.000000,0.513977,0.931908,1,36
1490728421,100.000000,12.000000,-1.000000,1.411621,1,10
1490728423,50.000000,12.000000,0.500555,0.909828,1,11
1490728426,400.000000,4.000000,0.494160,3.239723,1,35
1490728432,125.000000,4.000000,-1.000000,0.832870,1,3
1490728433,100.000000,12.000000,-1.000000,0.727905,1,5
1490728434,75.000000,4.000000,0.526153,0.930954,1,11
1490728438,150.000000,4.000000,-1.000000,1.041977,1,4
1490728439,75.000000,4.000000,-1.000000,0.878784,1,7
1490728440,175.000000,12.000000,-1.000000,3.510788,4,28
1490728466,200.000000,12.000000,-1.000000,1.507965,1,10
1490728468,175.000000,8.000000,0.552500,1.282959,1,36
1490728481,100.000000,4.000000,-1.000000,1.019775,1,8
1490728483,25.000000,12.000000,0.506692,1.532715,3,31
1490728487,0.000000,12.000000,-1.000000,1.404068,3,18
1490728488,175.000000,4.000000,-1.000000,2.570572,2,29
1490728491,100.000000,4.000000,-1.000000,2.055862,2,20
1490728494,0.000000,4.000000,-1.000000,0.987900,2,12
1490728495,300.000000,12.000000,-1.000000,2.719711,1,23
1490728498,0.000000,8.000000,-1.000000,1.435898,2,14
1490728500,400.000000,8.000000,-1.000000,5.455597,2,45
1490728505,175.000000,4.000000,-1.000000,2.754837,1,21
1490728509,100.000000,12.000000,-1.000000,1.123886,2,10
1490728510,125.000000,8.000000,-1.000000,1.104965,1,12
1490728511,50.000000,8.000000,0.510573,1.045792,2,45
1490728515,50.000000,4.000000,-1.000000,1.018005,1,11
1490728516,75.000000,8.000000,-1.000000,0.942795,1,17
1490728518,125.000000,4.000000,0.504325,1.064911,1,21
1490728521,100.000000,12.000000,-1.000000,0.947968,1,12
1490728523,400.000000,8.000000,-1.000000,3.603928,3,28
1490728527,200.000000,8.000000,-1.000000,1.104065,1,5
1490728528,400.000000,4.000000,-1.000000,1.023849,1,4
1490728529,200.000000,12.000000,-1.000000,1.320038,2,7
1490728531,400.000000,8.000000,-1.000000,1.775742,3,7
1490728533,400.000000,4.000000,-1.000000,0.891922,1,4
1490728534,300.000000,8.000000,0.498592,1.739868,1,20
1490728538,125.000000,4.000000,-1.000000,1.708694,2,17
1490728540,100.000000,8.000000,-1.000000,1.751877,4,21
1490728542,175.000000,12.000000,-1.000000,3.082901,5,33
1490728546,400.000000,8.000000,-1.000000,2.295914,4,11
1490728568,0.000000,12.000000,-1.000000,1.424042,2,17
1490728570,200.000000,8.000000,-1.000000,0.991760,1,12
1490728571,300.000000,4.000000,-1.000000,1.171844,1,4
1490728573,0.000000,12.000000,0.512049,1.352020,2,14
1490728576,400.000000,12.000000,-1.000000,2.863892,5,14
1490728580,25.000000,4.000000,-1.000000,1.168854,2,15
1490728581,100.000000,8.000000,-1.000000,2.519928,5,24
1490728584,125.000000,8.000000,-1.000000,1.484833,3,6
1490728586,300.000000,12.000000,0.482445,3.315704,6,23
1490728592,100.000000,12.000000,0.909344,0.863800,1,46
1490728598,125.000000,12.000000,-1.000000,0.972748,1,5
1490728599,100.000000,4.000000,-1.000000,1.299896,1,16
1490728601,50.000000,8.000000,-1.000000,1.229828,2,21
1490728602,100.000000,4.000000,-1.000000,1.663818,3,15
1490728604,175.000000,8.000000,-1.000000,0.947021,1,13
1490728605,25.000000,8.000000,-1.000000,0.900818,1,17
1490728607,300.000000,12.000000,-1.000000,3.691620,5,31
1490728611,125.000000,4.000000,-1.000000,0.904724,1,15
1490728612,50.000000,12.000000,-1.000000,0.693878,1,11
1490728613,300.000000,12.000000,-1.000000,1.967743,2,16
1490728615,125.000000,12.000000,-1.000000,2.237030,4,16
1490728618,50.000000,8.000000,-1.000000,0.717682,1,9
1490728619,0.000000,8.000000,-1.000000,0.892059,2,6
1490728620,400.000000,4.000000,-1.000000,1.135651,1,1
1490728621,75.000000,8.000000,-1.000000,0.818787,1,8
1490728622,25.000000,8.000000,0.914518,0.528961,1,25
1490728626,300.000000,4.000000,-1.000000,2.875793,1,10
1490728629,125.000000,8.000000,-1.000000,0.904816,1,9
1490728630,175.000000,12.000000,-1.000000,1.810822,2,14
1490728632,200.000000,4.000000,-1.000000,1.491943,1,18
1490728655,300.000000,8.000000,-1.000000,2.131866,5,10
1490728657,175.000000,12.000000,-1.000000,1.002869,1,6
1490728659,0.000000,4.000000,-1.000000,0.883942,1,3
1490728660,75.000000,4.000000,-1.000000,0.570831,1,4
1490728661,25.000000,8.000000,-1.000000,1.264984,2,14
1490728662,300.000000,8.000000,-1.000000,1.148010,1,11
1490728664,200.000000,8.000000,-1.000000,1.215759,1,6
1490728665,100.000000,8.000000,-1.000000,0.591827,1,2
1490728666,25.000000,4.000000,-1.000000,0.900879,2,2
1490728667,100.000000,4.000000,0.911198,1.047729,1,27
1490728671,150.000000,12.000000,-1.000000,1.465820,2,4
1490728673,25.000000,8.000000,-1.000000,1.168884,1,18
1490728674,75.000000,12.000000,-1.000000,1.122864,1,18
1490728675,150.000000,8.000000,0.700969,1.221985,1,30
1490728678,150.000000,8.000000,-1.000000,1.909637,4,14
1490728681,125.000000,12.000000,-1.000000,0.672882,1,5
1490728682,50.000000,4.000000,-1.000000,1.325653,2,7
1490728683,150.000000,4.000000,-1.000000,1.406036,1,22
1490728685,300.000000,4.000000,0.498404,2.335693,1,45
1490728690,150.000000,12.000000,-1.000000,1.325714,2,7
1490728692,50.000000,4.000000,-1.000000,0.581696,1,8
1490728693,75.000000,8.000000,0.896846,1.031128,1,28
1490728696,150.000000,8.000000,-1.000000,2.589905,4,29
1490728699,125.000000,4.000000,-1.000000,0.772766,1,2
1490728700,0.000000,8.000000,-1.000000,0.552185,1,9
1490728701,0.000000,12.000000,-1.000000,0.591949,1,10
1490728702,300.000000,8.000000,-1.000000,2.851959,2,34
1490728705,25.000000,12.000000,-1.000000,0.880981,1,10
1490728706,125.000000,8.000000,-1.000000,1.048676,1,14
1490728707,25.000000,4.000000,0.935336,1.100739,3,180
1490728730,125.000000,12.000000,0.713596,0.944611,1,22
1490728733,175.000000,4.000000,0.490381,1.422821,2,26
1490728737,75.000000,4.000000,-1.000000,0.990875,1,10
1490728739,200.000000,4.000000,-1.000000,2.191772,4,17
1490728741,75.000000,12.000000,-1.000000,0.594910,1,9
1490728742,125.000000,8.000000,0.517465,1.165009,1,22
1490728745,25.000000,12.000000,-1.000000,0.820923,1,9
1490728746,150.000000,4.000000,0.521918,1.369781,2,27
1490728749,200.000000,12.000000,0.315292,1.527863,2,30
1490728753,100.000000,8.000000,0.500137,1.111877,1,39
1490728757,0.000000,8.000000,0.899206,0.767853,2,21
1490728760,50.000000,12.000000,-1.000000,1.065857,2,12
1490728762,100.000000,8.000000,-1.000000,0.851685,1,17
1490728764,150.000000,12.000000,-1.000000,1.629883,3,21
1490728766,50.000000,12.000000,-1.000000,0.669739,1,11
1490728767,150.000000,4.000000,-1.000000,1.097809,2,11
1490728769,75.000000,8.000000,-1.000000,1.094788,1,15
1490728771,0.000000,4.000000,-1.000000,0.724060,2,9
1490728772,200.000000,12.000000,-1.000000,1.287964,2,14
1490728773,200.000000,12.000000,-1.000000,1.839752,3,18
1490728775,175.000000,4.000000,-1.000000,1.298859,2,20
1490728777,175.000000,8.000000,-1.000000,1.338989,2,10
1490728779,400.000000,12.000000,-1.000000,2.967743,4,26
1490728782,50.000000,8.000000,-1.000000,0.857910,1,14
1490728783,150.000000,4.000000,-1.000000,0.937927,1,6
1490728784,200.000000,8.000000,0.511481,1.463959,2,22
1490728787,50.000000,4.000000,-1.000000,0.633789,1,4
1490728788,200.000000,8.000000,-1.000000,1.399750,1,17
1490728790,75.000000,12.000000,0.935122,0.858856,1,492
1490728795,75.000000,4.000000,-1.000000,0.810791,1,16
1490728816,150.000000,12.000000,-1.000000,0.585754,1,4
1490728817,75.000000,12.000000,-1.000000,0.718567,1,8
1490728818,200.000000,4.000000,0.704665,1.067688,1,19
1490728821,175.000000,4.000000,-1.000000,1.046875,1,5
1490728822,0.000000,8.000000,-1.000000,0.687988,1,8
1490728823,175.000000,12.000000,0.669897,1.362854,2,28
1490728828,300.000000,4.000000,-1.000000,1.675964,2,15
1490728830,75.000000,8.000000,-1.000000,1.618652,3,25
1490728832,25.000000,8.000000,-1.000000,0.976868,2,18
1490728834,400.000000,4.000000,-1.000000,2.719849,2,23
1490728837,300.000000,12.000000,-1.000000,1.752075,1,21
