Time,Delay,Impulse,Response,Elapsed,Triggers,Thumbstick
1491417304,0.000000,8.000000,0.309894,4.647938,1,43
1491417330,0.000000,8.000000,0.498319,1.680050,1,30
1491417336,200.000000,8.000000,-1.000000,2.431889,1,24
1491417339,125.000000,8.000000,-1.000000,4.108845,1,26
1491417344,200.000000,12.000000,-1.000000,2.383804,1,9
1491417347,400.000000,12.000000,-1.000000,25.843552,4,217
1491417374,175.000000,4.000000,-1.000000,5.270660,1,9
1491417380,100.000000,8.000000,-1.000000,1.487999,1,5
1491417382,150.000000,8.000000,-1.000000,1.910004,1,9
1491417384,150.000000,4.000000,-1.000000,4.105667,2,7
1491417389,300.000000,12.000000,-1.000000,8.067818,1,40
1491417397,150.000000,8.000000,-1.000000,6.061638,3,25
1491417404,100.000000,12.000000,-1.000000,4.015862,2,23
1491417408,175.000000,4.000000,-1.000000,3.922745,2,7
1491417412,25.000000,8.000000,-1.000000,3.444870,1,10
1491417416,75.000000,8.000000,-1.000000,1.870987,1,3
1491417418,100.000000,8.000000,-1.000000,1.383896,1,7
1491417421,25.000000,4.000000,0.308637,1.924896,1,22
1491417431,400.000000,12.000000,0.116321,30.000031,2,497
1491417466,100.000000,4.000000,-1.000000,2.191849,1,16
1491417469,25.000000,8.000000,-1.000000,1.820862,1,10
1491417472,125.000000,12.000000,-1.000000,1.380722,1,5
1491417474,0.000000,4.000000,-1.000000,3.023819,1,3
1491417478,175.000000,4.000000,-1.000000,10.474609,3,56
1491417489,150.000000,4.000000,-1.000000,2.933578,1,16
1491417493,125.000000,12.000000,0.311392,9.484833,1,101
1491417509,100.000000,4.000000,-1.000000,2.611984,1,5
1491417512,100.000000,4.000000,-1.000000,3.623718,1,13
1491417516,200.000000,12.000000,-1.000000,6.619888,1,51
1491417523,175.000000,8.000000,-1.000000,2.194824,1,2
1491417548,0.000000,8.000000,-1.000000,1.340088,1,3
1491417550,400.000000,4.000000,0.320380,9.915649,2,55
1491417566,125.000000,8.000000,-1.000000,1.996704,1,11
1491417568,0.000000,12.000000,0.314221,4.331940,3,35
1491417576,25.000000,12.000000,0.513107,3.212738,1,96
1491417582,150.000000,8.000000,-1.000000,1.497955,1,7
1491417584,100.000000,12.000000,-1.000000,3.959839,2,34
1491417588,25.000000,4.000000,-1.000000,2.072906,1,4
1491417591,100.000000,12.000000,0.504531,2.007751,1,8
1491417597,175.000000,12.000000,0.297117,12.566742,4,126
1491417612,50.000000,4.000000,-1.000000,4.913788,1,23
1491417618,25.000000,8.000000,-1.000000,1.620758,1,7
1491417620,300.000000,4.000000,0.306249,7.687805,1,83
1491417631,25.000000,8.000000,0.508173,2.956726,1,24
1491417638,200.000000,8.000000,-1.000000,4.207825,2,18
1491417643,150.000000,4.000000,-1.000000,3.505981,2,26
1491417647,150.000000,12.000000,-1.000000,8.445679,4,46
1491417656,25.000000,12.000000,-1.000000,1.448822,1,6
1491417659,50.000000,8.000000,-1.000000,1.465759,1,1
1491417661,50.000000,12.000000,-1.000000,3.097565,1,13
1491417665,200.000000,4.000000,0.496386,2.835785,1,12
1491417671,200.000000,8.000000,0.506925,3.199860,2,38
1491417678,25.000000,12.000000,-1.000000,1.397034,1,3
1491417680,100.000000,4.000000,-1.000000,3.523895,1,18
1491417685,50.000000,8.000000,-1.000000,2.425690,1,14
1491417688,100.000000,12.000000,-1.000000,4.207825,1,27
1491417693,75.000000,12.000000,-1.000000,3.210663,2,21
1491417697,75.000000,12.000000,-1.000000,1.926636,1,12
1491417699,300.000000,4.000000,-1.000000,2.991791,1,9
1491417702,400.000000,8.000000,-1.000000,25.035797,2,236
1491417751,75.000000,4.000000,-1.000000,2.530823,1,15
1491417754,200.000000,12.000000,-1.000000,2.331848,1,5
1491417757,125.000000,8.000000,0.512638,3.644714,1,39
1491417764,50.000000,12.000000,-1.000000,3.073761,2,13
1491417768,200.000000,12.000000,0.809304,18.439545,5,181
1491417789,300.000000,4.000000,-1.000000,12.623840,3,103
1491417802,400.000000,4.000000,-1.000000,7.839844,2,22
1491417813,175.000000,8.000000,0.303529,4.391052,1,23
1491417822,50.000000,12.000000,0.313135,3.505859,1,46
1491417830,150.000000,12.000000,-1.000000,3.410034,1,13
1491417835,200.000000,12.000000,-1.000000,1.555664,1,0
1491417837,175.000000,12.000000,-1.000000,1.982788,1,3
1491417840,200.000000,4.000000,-1.000000,1.967896,1,1
1491417842,200.000000,4.000000,-1.000000,6.875732,2,40
1491417849,75.000000,4.000000,-1.000000,2.802795,1,7
1491417853,125.000000,8.000000,-1.000000,10.244690,6,40
1491417863,175.000000,12.000000,-1.000000,2.010742,1,8
1491417866,50.000000,4.000000,-1.000000,3.949890,1,15
1491417870,50.000000,8.000000,-1.000000,1.825745,1,12
1491417873,50.000000,4.000000,0.508423,1.601929,1,21
1491417877,175.000000,12.000000,-1.000000,15.166687,4,104
1491417894,25.000000,12.000000,-1.000000,2.997009,2,5
1491417898,0.000000,12.000000,-1.000000,2.811951,1,7
1491417901,25.000000,12.000000,-1.000000,1.828796,1,2
1491417903,200.000000,4.000000,-1.000000,7.124023,1,27
1491417911,400.000000,8.000000,-1.000000,30.000122,3,245
1491417942,300.000000,8.000000,-1.000000,22.875488,3,207
1491417965,125.000000,4.000000,-1.000000,2.532654,1,3
1491417968,100.000000,8.000000,0.303617,2.055786,1,19
1491417975,300.000000,12.000000,-1.000000,11.703735,3,88
1491418014,200.000000,4.000000,-1.000000,6.443909,1,35
1491418021,75.000000,8.000000,0.502056,3.662903,1,17
1491418027,125.000000,4.000000,-1.000000,3.057007,1,9
1491418031,75.000000,8.000000,-1.000000,3.538818,1,20
1491418035,50.000000,4.000000,-1.000000,3.489868,1,17
1491418039,0.000000,12.000000,-1.000000,3.184082,1,23
1491418043,175.000000,8.000000,-1.000000,5.734741,2,25
1491418049,300.000000,8.000000,-1.000000,3.535645,1,7
1491418053,200.000000,8.000000,-1.000000,2.139526,1,7
1491418056,0.000000,8.000000,-1.000000,3.051880,2,13
1491418059,25.000000,4.000000,-1.000000,2.128845,1,7
1491418061,175.000000,4.000000,-1.000000,3.086670,1,16
1491418065,25.000000,4.000000,-1.000000,1.632751,1,4
1491418067,150.000000,8.000000,-1.000000,5.297729,4,25
1491418073,50.000000,12.000000,-1.000000,1.629944,1,10
1491418075,150.000000,12.000000,-1.000000,4.541687,1,24
1491418080,125.000000,12.000000,-1.000000,3.996704,1,31
1491418084,300.000000,12.000000,-1.000000,2.955933,1,14
1491418088,175.000000,4.000000,0.518028,6.158630,1,43
1491418096,75.000000,4.000000,-1.000000,1.490784,1,6
1491418098,0.000000,12.000000,-1.000000,1.951904,1,11
1491418101,75.000000,12.000000,0.298169,5.010742,4,40
1491418112,300.000000,4.000000,-1.000000,3.356018,2,8
1491418116,125.000000,12.000000,-1.000000,1.204773,1,4
1491418118,75.000000,8.000000,-1.000000,1.578979,1,1
1491418120,150.000000,8.000000,0.507626,1.093933,1,6
1491418124,200.000000,8.000000,-1.000000,1.731934,1,5
1491418127,100.000000,8.000000,-1.000000,3.491821,1,10
1491418131,300.000000,8.000000,0.318719,8.027893,1,110
1491418142,0.000000,4.000000,-1.000000,1.996033,1,5
1491418165,300.000000,8.000000,-1.000000,3.391846,1,11
1491418169,25.000000,8.000000,-1.000000,1.189026,1,4
1491418171,300.000000,4.000000,-1.000000,2.663940,1,10
1491418174,150.000000,4.000000,-1.000000,2.941833,1,15
1491418177,400.000000,8.000000,-1.000000,11.603577,2,79
1491418189,150.000000,12.000000,-1.000000,4.189758,1,37
1491418194,400.000000,12.000000,-1.000000,10.847717,3,77
1491418205,75.000000,4.000000,-1.000000,2.706665,1,22
1491418209,75.000000,4.000000,0.310358,2.734924,1,16
1491418215,125.000000,8.000000,-1.000000,2.360718,1,9
1491418218,175.000000,12.000000,-1.000000,3.554810,2,11
1491418222,0.000000,8.000000,-1.000000,1.872131,1,2
1491418224,400.000000,12.000000,-1.000000,8.191589,2,76
1491418233,100.000000,8.000000,-1.000000,4.819885,1,20
1491418238,400.000000,8.000000,-1.000000,7.679626,1,63
1491418246,400.000000,4.000000,-1.000000,6.295837,3,13
1491418253,400.000000,4.000000,-1.000000,12.131531,3,38
1491418265,0.000000,8.000000,-1.000000,2.311890,1,10
1491418268,400.000000,4.000000,-1.000000,6.275818,2,54
1491418275,125.000000,4.000000,-1.000000,1.644775,1,0
1491418278,50.000000,8.000000,-1.000000,1.249878,1,1
1491418280,0.000000,4.000000,0.306271,1.947998,1,9
1491418284,150.000000,12.000000,0.514394,1.574036,1,25
1491418289,125.000000,4.000000,-1.000000,2.276917,1,7
1491418291,50.000000,8.000000,0.494344,2.453735,1,16
