Time,Delay,Impulse,Response,Elapsed,Triggers,Thumbstick
1491584404,0.000000,8.000000,0.908025,1.783972,1,40
1491584426,0.000000,8.000000,0.919683,1.191811,1,24
1491584432,125.000000,4.000000,-1.000000,2.600731,1,31
1491584438,150.000000,8.000000,-1.000000,2.281769,2,16
1491584441,125.000000,4.000000,-1.000000,0.997055,1,3
1491584443,200.000000,4.000000,-1.000000,1.608047,1,10
1491584446,150.000000,12.000000,-1.000000,1.229759,1,10
1491584448,175.000000,8.000000,-1.000000,1.131050,1,5
1491584449,300.000000,4.000000,-1.000000,3.683708,3,23
1491584453,50.000000,4.000000,-1.000000,0.997948,1,5
1491584455,25.000000,4.000000,-1.000000,1.160957,1,7
1491584457,300.000000,8.000000,-1.000000,2.543991,1,17
1491584460,125.000000,12.000000,-1.000000,2.748940,3,13
1491584463,50.000000,8.000000,-1.000000,0.832001,1,5
1491584464,75.000000,8.000000,-1.000000,1.126968,1,14
1491584466,200.000000,4.000000,0.483721,2.539749,3,53
1491584515,25.000000,4.000000,-1.000000,1.116730,2,8
1491584517,100.000000,12.000000,-1.000000,1.087799,1,10
1491584518,300.000000,12.000000,-1.000000,2.295929,2,18
1491584521,300.000000,12.000000,-1.000000,1.279816,1,5
1491584523,125.000000,12.000000,0.794211,1.408859,1,25
1491584532,175.000000,12.000000,-1.000000,0.814743,1,1
1491584533,100.000000,12.000000,0.656906,0.967804,1,37
1491584542,75.000000,8.000000,0.868748,1.350708,1,26
1491584549,150.000000,4.000000,-1.000000,1.325897,1,12
1491584551,75.000000,8.000000,-1.000000,1.010727,1,20
1491584552,75.000000,12.000000,-1.000000,0.850876,1,9
1491584554,100.000000,8.000000,-1.000000,0.555771,1,0
1491584555,50.000000,12.000000,-1.000000,1.513748,2,12
1491584557,75.000000,4.000000,-1.000000,1.234802,1,7
1491584580,300.000000,12.000000,-1.000000,4.015747,3,25
1491584584,400.000000,4.000000,0.290464,2.392029,2,51
1491584592,25.000000,12.000000,-1.000000,0.816788,1,10
1491584593,175.000000,4.000000,-1.000000,0.758835,1,4
1491584594,150.000000,4.000000,-1.000000,1.861908,1,13
1491584597,175.000000,4.000000,-1.000000,3.415039,2,25
1491584600,100.000000,8.000000,0.495683,1.151703,1,28
1491584605,0.000000,4.000000,0.927036,0.871918,1,24
1491584608,150.000000,8.000000,-1.000000,2.713837,4,25
1491584611,175.000000,8.000000,-1.000000,1.366806,1,16
1491584613,200.000000,12.000000,-1.000000,1.171768,1,9
1491584614,300.000000,8.000000,-1.000000,1.247726,1,0
1491584616,25.000000,12.000000,0.831128,1.272888,1,22
1491584621,300.000000,12.000000,0.305241,2.347885,3,29
1491584626,50.000000,12.000000,-1.000000,1.397797,1,13
1491584628,400.000000,12.000000,-1.000000,4.179749,2,35
1491584632,0.000000,12.000000,-1.000000,1.015930,2,9
1491584634,50.000000,4.000000,-1.000000,1.201843,2,16
1491584636,125.000000,8.000000,0.610409,2.652679,4,20
1491584649,100.000000,12.000000,-1.000000,1.919922,4,11
1491584652,150.000000,8.000000,-1.000000,1.173889,1,16
1491584653,150.000000,12.000000,-1.000000,2.077850,2,26
1491584656,75.000000,4.000000,0.873663,0.882843,1,15
1491584659,175.000000,12.000000,-1.000000,3.390717,3,31
1491584663,25.000000,4.000000,0.902441,1.200928,1,17
1491584668,150.000000,12.000000,-1.000000,2.301727,3,13
1491584671,50.000000,4.000000,0.903402,1.565887,2,40
