Time,Delay,Impulse,Response,Elapsed,Triggers,Thumbstick
1491581715,0.000000,8.000000,0.704488,1.333549,1,30
1491581730,0.000000,8.000000,0.701227,1.480034,1,30
1491581736,100.000000,8.000000,0.299408,3.807838,1,68
1491581747,150.000000,12.000000,-1.000000,9.857689,1,104
1491581759,100.000000,12.000000,-1.000000,6.283569,2,57
1491581768,50.000000,8.000000,0.692540,2.525833,1,21
1491581777,400.000000,4.000000,0.299098,5.503403,1,48
1491581790,125.000000,12.000000,-1.000000,4.024796,1,29
1491581795,175.000000,12.000000,-1.000000,4.522942,1,27
1491581801,175.000000,12.000000,-1.000000,1.466827,1,7
1491581803,175.000000,12.000000,-1.000000,5.650711,2,32
1491581809,400.000000,12.000000,-1.000000,8.419693,2,79
1491581819,50.000000,8.000000,-1.000000,2.733612,1,14
1491581822,300.000000,8.000000,-1.000000,5.335846,1,31
1491581828,50.000000,4.000000,-1.000000,2.513901,1,7
1491581831,50.000000,12.000000,-1.000000,3.205917,1,29
1491581834,0.000000,4.000000,-1.000000,1.219925,1,3
1491581836,200.000000,12.000000,0.266611,4.947845,2,53
1491581850,0.000000,8.000000,-1.000000,2.355499,1,18
1491581853,150.000000,8.000000,-1.000000,4.333771,1,36
1491581857,200.000000,8.000000,0.713776,1.875778,1,39
1491581866,0.000000,12.000000,-1.000000,1.412064,1,6
1491581868,75.000000,4.000000,0.907975,2.634750,1,33
1491581876,50.000000,4.000000,-1.000000,2.249634,1,16
1491581879,25.000000,8.000000,-1.000000,3.264709,1,28
1491581883,150.000000,12.000000,-1.000000,5.417801,3,34
1491581889,0.000000,4.000000,-1.000000,1.631958,1,14
1491581891,400.000000,12.000000,-1.000000,10.651550,2,71
1491581903,125.000000,4.000000,-1.000000,2.124924,1,7
1491581905,150.000000,12.000000,0.294909,2.925781,2,27
1491581934,125.000000,4.000000,0.696062,2.428741,1,24
1491581939,200.000000,4.000000,0.522355,1.287964,1,21
1491581944,300.000000,8.000000,-1.000000,6.035583,2,32
1491581950,400.000000,12.000000,-1.000000,16.339630,4,102
1491581967,25.000000,4.000000,-1.000000,2.505035,1,14
1491581971,75.000000,4.000000,-1.000000,2.670837,1,7
1491581974,175.000000,8.000000,-1.000000,2.014954,1,11
1491581976,175.000000,12.000000,-1.000000,3.378876,1,32
1491581980,125.000000,4.000000,-1.000000,2.896698,2,22
1491581984,200.000000,8.000000,-1.000000,3.503815,1,23
1491581988,75.000000,8.000000,-1.000000,2.002899,1,4
1491581990,50.000000,8.000000,-1.000000,2.129761,1,8
1491581993,125.000000,8.000000,-1.000000,1.540680,1,9
1491581994,25.000000,12.000000,-1.000000,1.624878,1,9
1491581996,100.000000,12.000000,-1.000000,3.563934,1,26
1491582000,150.000000,8.000000,-1.000000,2.125793,1,10
1491582003,25.000000,4.000000,0.940683,2.424866,1,39
1491582010,100.000000,4.000000,-1.000000,3.155762,1,17
1491582013,400.000000,4.000000,-1.000000,8.855835,3,39
1491582023,25.000000,12.000000,-1.000000,3.428650,1,24
1491582027,300.000000,4.000000,-1.000000,3.379913,1,19
1491582031,125.000000,8.000000,-1.000000,2.244843,1,7
1491582033,125.000000,12.000000,0.499985,3.336853,1,29
1491582042,150.000000,4.000000,-1.000000,1.401825,1,2
1491582043,100.000000,8.000000,-1.000000,5.207642,1,35
1491582049,100.000000,8.000000,-1.000000,1.699738,1,13
1491582051,150.000000,4.000000,-1.000000,1.821808,1,8
1491582053,175.000000,4.000000,-1.000000,1.399017,1,8
1491582055,0.000000,12.000000,-1.000000,2.451782,1,16
1491582058,125.000000,8.000000,0.313981,3.168884,1,31
1491582086,25.000000,12.000000,-1.000000,2.072754,1,17
1491582089,200.000000,12.000000,-1.000000,3.451904,2,24
1491582092,300.000000,12.000000,-1.000000,10.347809,2,28
1491582103,75.000000,8.000000,-1.000000,1.735016,1,17
1491582106,75.000000,12.000000,-1.000000,0.630737,1,0
1491582107,300.000000,8.000000,-1.000000,7.739502,4,35
1491582115,25.000000,12.000000,-1.000000,2.296783,1,15
1491582118,125.000000,4.000000,-1.000000,2.100616,1,4
1491582120,75.000000,4.000000,-1.000000,2.998932,2,25
1491582124,0.000000,8.000000,-1.000000,2.435822,1,9
1491582126,100.000000,4.000000,0.507104,3.091705,3,16
1491582136,175.000000,8.000000,-1.000000,8.050873,3,44
1491582145,100.000000,12.000000,-1.000000,1.615753,1,14
1491582147,0.000000,12.000000,-1.000000,0.687988,1,1
1491582148,400.000000,8.000000,-1.000000,6.715912,2,36
1491582156,25.000000,8.000000,0.499680,1.892975,1,18
1491582163,0.000000,8.000000,-1.000000,1.664032,1,12
1491582166,400.000000,12.000000,-1.000000,26.215179,7,182
1491582193,300.000000,4.000000,-1.000000,2.983826,1,9
1491582197,50.000000,12.000000,-1.000000,1.493958,1,4
1491582199,75.000000,8.000000,-1.000000,1.686707,1,4
1491582201,75.000000,4.000000,-1.000000,2.526672,1,5
1491582204,125.000000,12.000000,-1.000000,3.856873,1,25
1491582208,400.000000,4.000000,-1.000000,5.547546,2,24
1491582214,300.000000,12.000000,-1.000000,6.431702,1,37
1491582221,50.000000,4.000000,-1.000000,1.297913,1,16
1491582223,25.000000,12.000000,0.472267,1.820862,1,11
1491582229,175.000000,4.000000,-1.000000,2.287048,1,12
1491582232,0.000000,8.000000,0.674378,1.500122,1,32
1491582237,75.000000,12.000000,-1.000000,1.470764,1,0
1491582261,75.000000,4.000000,-1.000000,3.162781,1,21
1491582265,150.000000,4.000000,-1.000000,1.493835,1,3
1491582267,125.000000,8.000000,-1.000000,1.876770,1,7
1491582270,100.000000,4.000000,-1.000000,3.023682,1,12
1491582273,50.000000,12.000000,-1.000000,1.017944,1,12
1491582275,400.000000,12.000000,0.115240,9.879761,2,123
1491582290,175.000000,12.000000,0.298342,2.526794,1,43
1491582296,150.000000,12.000000,-1.000000,2.009888,1,11
1491582298,25.000000,4.000000,-1.000000,2.025024,1,12
1491582301,200.000000,12.000000,-1.000000,4.423767,1,43
1491582306,200.000000,4.000000,-1.000000,1.955750,1,12
1491582308,150.000000,8.000000,-1.000000,4.385803,2,18
1491582314,400.000000,8.000000,-1.000000,8.951599,3,48
1491582324,75.000000,12.000000,-1.000000,2.550659,2,20
1491582327,75.000000,8.000000,0.319398,1.862732,1,14
1491582333,175.000000,8.000000,0.515642,1.886841,1,24
1491582337,300.000000,12.000000,-1.000000,4.483826,1,30
1491582342,200.000000,8.000000,-1.000000,2.527832,1,13
1491582345,200.000000,4.000000,-1.000000,2.363708,1,10
1491582348,400.000000,4.000000,-1.000000,5.187805,2,14
1491582354,200.000000,4.000000,-1.000000,1.279785,1,2
1491582355,300.000000,12.000000,0.295652,3.371887,1,34
1491582363,300.000000,8.000000,-1.000000,2.839661,1,18
1491582366,175.000000,8.000000,-1.000000,3.391052,2,18
1491582370,100.000000,8.000000,-1.000000,1.135681,1,5
1491582371,0.000000,12.000000,0.326358,3.187927,2,32
1491582379,200.000000,8.000000,-1.000000,3.899719,2,15
1491582384,150.000000,12.000000,-1.000000,2.753906,1,23
1491582387,300.000000,4.000000,0.495595,6.123779,3,42
1491582399,0.000000,8.000000,-1.000000,2.191833,1,8
1491582423,100.000000,4.000000,-1.000000,3.063965,1,12
1491582426,200.000000,12.000000,-1.000000,4.343872,2,23
1491582431,100.000000,4.000000,-1.000000,1.115723,1,5
1491582433,75.000000,12.000000,-1.000000,1.970886,1,22
1491582435,400.000000,8.000000,0.112525,11.163452,6,77
1491582450,25.000000,4.000000,-1.000000,1.788940,1,20
1491582452,300.000000,4.000000,-1.000000,1.855896,1,9
1491582455,50.000000,12.000000,-1.000000,1.417908,1,10
1491582457,0.000000,4.000000,0.938356,0.688049,1,23
1491582461,200.000000,8.000000,-1.000000,4.935791,3,34
1491582466,400.000000,8.000000,-1.000000,4.311890,1,26
1491582471,125.000000,12.000000,-1.000000,1.476868,1,8
1491582473,25.000000,4.000000,-1.000000,2.036865,1,12
1491582476,175.000000,8.000000,-1.000000,2.106750,1,10
1491582478,175.000000,4.000000,-1.000000,1.978699,1,15
1491582481,75.000000,8.000000,-1.000000,1.050964,1,1
1491582482,300.000000,8.000000,0.497704,2.635925,1,22
1491582488,0.000000,4.000000,-1.000000,1.608093,1,16
1491582491,125.000000,8.000000,-1.000000,1.565063,1,11
1491582493,125.000000,4.000000,-1.000000,1.792786,1,9
1491582495,50.000000,8.000000,-1.000000,1.605896,1,7
1491582497,50.000000,12.000000,0.693415,1.121948,1,15
1491582500,150.000000,8.000000,0.503319,2.717773,2,27
1491582505,125.000000,12.000000,-1.000000,1.584839,1,1
1491582507,75.000000,12.000000,0.540342,2.598877,2,33
1491582514,150.000000,8.000000,-1.000000,1.301819,1,6
1491582515,150.000000,4.000000,0.722644,1.405884,1,24
1491582519,150.000000,4.000000,-1.000000,1.145813,1,10
1491582521,25.000000,8.000000,-1.000000,0.972839,1,6
1491582522,0.000000,12.000000,-1.000000,0.895996,1,9
1491582544,25.000000,8.000000,-1.000000,1.104797,1,7
1491582545,400.000000,8.000000,-1.000000,3.087646,2,17
1491582549,25.000000,8.000000,-1.000000,1.893005,2,12
1491582551,50.000000,8.000000,-1.000000,2.261902,1,15
1491582554,200.000000,4.000000,-1.000000,3.131958,1,18
1491582558,50.000000,4.000000,-1.000000,1.257813,1,5
1491582559,100.000000,8.000000,-1.000000,2.599792,1,20
1491582562,300.000000,4.000000,-1.000000,3.011841,1,16
1491582565,400.000000,4.000000,-1.000000,1.907715,1,1
