Time,Delay,Impulse,Response,Elapsed,Triggers,Thumbstick
1491421176,0.000000,8.000000,0.916317,1.064062,1,11
1491421180,0.000000,8.000000,0.912412,2.408010,1,32
1491421186,50.000000,8.000000,-1.000000,2.761684,1,21
1491421189,100.000000,4.000000,-1.000000,1.347691,1,3
1491421191,75.000000,4.000000,0.693198,2.390995,1,33
1491421197,200.000000,12.000000,0.935090,2.015762,1,15
1491421201,25.000000,4.000000,0.694021,4.276714,1,38
1491421209,0.000000,4.000000,-1.000000,2.115883,1,13
1491421212,400.000000,8.000000,-1.000000,9.095699,1,64
1491421222,175.000000,12.000000,-1.000000,1.410660,1,4
1491421224,400.000000,12.000000,-1.000000,16.135555,3,130
1491421241,175.000000,12.000000,-1.000000,5.446754,1,30
1491421246,50.000000,8.000000,-1.000000,4.989792,1,11
1491421252,0.000000,8.000000,-1.000000,3.203972,1,10
1491421256,50.000000,12.000000,-1.000000,3.669891,1,9
1491421260,300.000000,12.000000,-1.000000,8.275703,2,57
1491421269,175.000000,8.000000,-1.000000,6.458801,1,27
1491421276,300.000000,4.000000,-1.000000,10.439865,2,53
1491421287,0.000000,4.000000,-1.000000,4.187859,1,17
1491421292,75.000000,12.000000,-1.000000,2.206787,1,22
1491421295,300.000000,12.000000,-1.000000,2.539597,1,3
1491421298,175.000000,8.000000,-1.000000,1.914734,1,4
1491421300,125.000000,12.000000,-1.000000,2.184616,1,7
1491421303,400.000000,8.000000,-1.000000,2.659714,1,3
1491421305,300.000000,8.000000,-1.000000,2.467941,1,0
1491421308,0.000000,12.000000,-1.000000,1.891800,1,4
1491421311,50.000000,12.000000,-1.000000,2.209854,1,9
1491421313,125.000000,8.000000,-1.000000,3.112747,1,1
1491421317,200.000000,12.000000,-1.000000,2.347839,1,14
1491421319,50.000000,12.000000,0.318036,1.225739,1,30
1491421347,75.000000,8.000000,-1.000000,8.462860,1,72
1491421356,175.000000,8.000000,-1.000000,3.014664,1,12
1491421359,200.000000,8.000000,-1.000000,4.863693,2,28
1491421364,200.000000,8.000000,-1.000000,1.475861,1,5
1491421366,0.000000,12.000000,0.496266,1.663925,1,24
1491421372,125.000000,4.000000,-1.000000,1.576950,1,6
1491421374,25.000000,8.000000,0.508998,4.244797,1,38
1491421382,200.000000,12.000000,-1.000000,4.379852,1,26
1491421386,25.000000,8.000000,-1.000000,1.772949,1,16
1491421388,300.000000,12.000000,-1.000000,16.015579,2,132
1491421405,300.000000,8.000000,-1.000000,2.263916,1,0
1491421407,150.000000,8.000000,-1.000000,9.645798,1,41
1491421417,100.000000,4.000000,-1.000000,7.431824,1,17
1491421425,175.000000,4.000000,-1.000000,3.954773,1,11
1491421429,75.000000,8.000000,0.304185,5.538696,1,46
1491421439,300.000000,8.000000,-1.000000,8.027771,1,28
1491421448,200.000000,12.000000,-1.000000,9.391510,3,51
1491421458,300.000000,12.000000,0.500790,2.355713,1,18
