Time,Delay,Impulse,Response,Elapsed,Clicks,Mouse
1460736613,0.000000,8.000000,0.920439,0.700005,1,331
1460736648,0.000000,8.000000,0.917010,0.883423,1,425
1460736652,0.000000,4.000000,-1.000000,0.633316,1,416
1460736656,50.000000,4.000000,0.687929,1.099945,1,764
1460736661,125.000000,4.000000,-1.000000,1.466660,2,684
1460736664,150.000000,8.000000,-1.000000,1.649887,4,630
1460736667,400.000000,12.000000,-1.000000,0.933304,1,256
1460736669,125.000000,8.000000,0.110425,1.033234,2,174
1460736675,200.000000,4.000000,-1.000000,1.549896,2,430
1460736678,300.000000,4.000000,0.110425,2.116577,4,888
1460736685,100.000000,12.000000,-1.000000,1.699905,2,1033
1460736688,75.000000,12.000000,-1.000000,0.983307,1,418
1460736690,25.000000,4.000000,-1.000000,0.583298,1,122
1460736691,50.000000,12.000000,-1.000000,0.416687,1,23
1460736692,300.000000,12.000000,-1.000000,2.183212,4,731
1460736695,200.000000,4.000000,-1.000000,1.233307,1,394
1460736697,150.000000,4.000000,-1.000000,0.916656,1,205
1460736699,75.000000,12.000000,-1.000000,1.349945,2,476
1460736701,300.000000,8.000000,-1.000000,0.999985,1,299
1460736702,125.000000,12.000000,-1.000000,0.600006,1,107
1460736704,75.000000,4.000000,-1.000000,0.916611,2,270
1460736705,200.000000,12.000000,0.111111,1.349976,5,739
1460736711,175.000000,8.000000,0.110425,1.083267,3,350
1460736719,50.000000,4.000000,-1.000000,0.833298,1,445
1460736722,100.000000,4.000000,-1.000000,1.099930,2,846
1460736724,75.000000,12.000000,0.108368,0.949905,2,753
1460736731,200.000000,12.000000,-1.000000,2.100052,3,1347
1460736734,75.000000,8.000000,-1.000000,0.716614,2,197
1460736737,0.000000,4.000000,0.683128,0.549988,1,323
1460736743,200.000000,12.000000,-1.000000,0.933289,1,659
1460736767,150.000000,8.000000,-1.000000,0.983429,1,423
1460736769,300.000000,12.000000,-1.000000,4.116486,5,1827
1460736775,0.000000,12.000000,-1.000000,0.816711,1,505
1460736777,400.000000,4.000000,-1.000000,2.366547,2,621
1460736780,50.000000,12.000000,-1.000000,0.883270,1,716
1460736781,125.000000,8.000000,-1.000000,0.883331,1,659
1460736783,25.000000,12.000000,-1.000000,1.583221,3,666
1460736785,75.000000,4.000000,0.110425,1.249847,2,651
1460736790,200.000000,4.000000,0.105624,1.499939,3,1034
