Time,Delay,Impulse,Response,Elapsed,Clicks,Mouse
1461251272,0.000000,8.000000,0.707133,1.299950,1,434
1461251289,0.000000,8.000000,0.705761,0.900024,1,241
1461251293,75.000000,12.000000,0.709877,1.066620,1,618
1461251296,0.000000,8.000000,-1.000000,0.750084,1,131
1461251298,300.000000,8.000000,-1.000000,2.349937,2,533
1461251302,0.000000,8.000000,0.912894,1.383339,1,613
1461251310,175.000000,8.000000,-1.000000,1.866638,1,487
1461251313,200.000000,12.000000,-1.000000,1.499962,1,27
1461251316,75.000000,4.000000,-1.000000,1.899963,1,143
1461251319,100.000000,4.000000,-1.000000,1.199966,1,264
1461251321,200.000000,8.000000,-1.000000,2.766525,2,712
1461251324,25.000000,8.000000,-1.000000,1.583282,1,525
1461251327,400.000000,12.000000,-1.000000,5.033157,2,1898
1461251332,150.000000,4.000000,-1.000000,2.299911,1,864
1461251336,75.000000,8.000000,-1.000000,2.149902,1,492
1461251339,200.000000,8.000000,-1.000000,1.699905,1,197
1461251341,300.000000,12.000000,-1.000000,4.166550,2,1212
1461251346,200.000000,12.000000,0.486968,1.899902,1,494
1461251351,150.000000,8.000000,0.513032,2.266556,1,387
1461251356,400.000000,12.000000,-1.000000,8.549805,3,2499
1461251365,175.000000,12.000000,-1.000000,1.566605,2,157
1461251367,100.000000,12.000000,-1.000000,0.833206,1,80
1461251369,400.000000,8.000000,-1.000000,1.466599,1,158
1461251371,400.000000,4.000000,-1.000000,6.449844,2,1749
1461251378,100.000000,8.000000,0.705761,2.299881,1,644
1461251382,25.000000,12.000000,-1.000000,1.449875,1,550
1461251386,400.000000,8.000000,-1.000000,1.816620,1,236
1461251388,25.000000,8.000000,-1.000000,1.249969,1,496
1461251390,400.000000,4.000000,-1.000000,2.499908,1,496
1461251394,150.000000,4.000000,0.305899,1.616623,1,530
1461251418,175.000000,8.000000,0.488340,1.283249,1,131
1461251421,75.000000,8.000000,-1.000000,1.533279,1,403
1461251424,200.000000,4.000000,-1.000000,1.499939,1,403
1461251427,150.000000,8.000000,-1.000000,1.466675,1,513
1461251429,150.000000,4.000000,-1.000000,1.499878,1,308
1461251431,25.000000,4.000000,-1.000000,0.816589,1,100
1461251432,75.000000,12.000000,-1.000000,1.183334,1,248
1461251434,125.000000,12.000000,-1.000000,1.416611,1,661
1461251436,175.000000,12.000000,0.506173,1.233231,1,315
1461251439,75.000000,4.000000,-1.000000,1.166550,1,223
1461251441,300.000000,4.000000,-1.000000,2.649948,2,513
1461251444,300.000000,8.000000,-1.000000,2.183228,1,563
1461251447,100.000000,4.000000,0.708505,0.916626,1,332
1461251450,125.000000,8.000000,-1.000000,1.616577,1,351
1461251453,175.000000,8.000000,-1.000000,1.066650,1,134
1461251454,150.000000,8.000000,-1.000000,0.933289,1,340
1461251456,300.000000,12.000000,0.502744,8.233093,5,2576
1461251466,0.000000,12.000000,-1.000000,0.900024,1,57
1461251467,25.000000,12.000000,-1.000000,1.266541,1,424
1461251469,125.000000,12.000000,-1.000000,1.266663,1,484
1461251471,50.000000,4.000000,0.687929,0.933258,1,449
1461251475,50.000000,8.000000,-1.000000,0.549896,1,18
1461251477,400.000000,8.000000,-1.000000,5.516541,4,1291
1461251483,0.000000,4.000000,-1.000000,1.083282,1,532
1461251484,125.000000,4.000000,0.707819,1.099915,1,288
1461251487,200.000000,4.000000,-1.000000,1.899872,1,795
1461251492,125.000000,8.000000,-1.000000,0.833221,1,107
1461251493,0.000000,8.000000,-1.000000,0.899933,1,233
1461251495,150.000000,12.000000,-1.000000,3.149841,2,1295
1461251498,75.000000,8.000000,-1.000000,1.316620,1,440
1461251521,200.000000,4.000000,-1.000000,1.649963,1,531
1461251523,175.000000,8.000000,-1.000000,1.266632,1,197
1461251525,100.000000,8.000000,-1.000000,1.250031,1,292
1461251527,100.000000,12.000000,-1.000000,1.616394,1,704
1461251529,200.000000,8.000000,-1.000000,1.633240,1,580
1461251531,125.000000,8.000000,0.725652,1.066528,1,474
1461251534,100.000000,4.000000,-1.000000,0.899933,1,247
1461251535,125.000000,4.000000,-1.000000,1.016388,1,316
1461251537,25.000000,4.000000,-1.000000,0.799896,1,307
1461251538,100.000000,12.000000,-1.000000,0.883240,1,135
1461251540,100.000000,4.000000,-1.000000,1.066620,1,423
1461251541,50.000000,12.000000,-1.000000,1.133301,1,639
1461251543,50.000000,8.000000,-1.000000,0.766541,1,154
1461251544,0.000000,4.000000,-1.000000,0.833252,1,365
1461251546,50.000000,4.000000,-1.000000,0.783234,1,278
1461251547,400.000000,12.000000,-1.000000,7.399780,3,4255
1461251555,400.000000,12.000000,0.095336,5.216522,2,2324
1461251563,25.000000,12.000000,-1.000000,0.983215,2,399
1461251565,25.000000,12.000000,0.913580,0.733276,1,292
1461251567,100.000000,8.000000,-1.000000,0.966583,1,731
1461251569,100.000000,12.000000,0.513717,2.083191,2,789
1461251573,175.000000,12.000000,-1.000000,1.033295,1,115
1461251574,0.000000,8.000000,-1.000000,0.850098,1,260
1461251576,150.000000,12.000000,0.333333,2.483154,2,1143
1461251580,25.000000,4.000000,-1.000000,1.099945,1,606
1461251582,175.000000,12.000000,-1.000000,1.166565,1,353
1461251584,300.000000,4.000000,-1.000000,2.666565,2,758
1461251587,25.000000,8.000000,-1.000000,0.783264,1,552
1461251588,150.000000,12.000000,-1.000000,1.033234,1,527
1461251590,300.000000,4.000000,-1.000000,1.983246,2,403
1461251614,50.000000,12.000000,-1.000000,0.749939,1,246
1461251615,175.000000,12.000000,-1.000000,1.166626,1,529
1461251617,300.000000,12.000000,-1.000000,3.049927,2,977
1461251621,0.000000,12.000000,-1.000000,0.816681,1,142
1461251622,25.000000,8.000000,0.691358,0.816620,1,235
1461251624,50.000000,8.000000,-1.000000,0.616577,1,151
1461251626,75.000000,8.000000,-1.000000,0.783295,1,262
1461251627,0.000000,4.000000,-1.000000,0.866608,1,369
1461251628,50.000000,8.000000,0.927983,0.700134,1,171
1461251631,400.000000,4.000000,-1.000000,2.433167,1,1018
1461251634,50.000000,12.000000,-1.000000,0.799896,1,435
1461251636,50.000000,4.000000,-1.000000,0.933258,1,425
1461251637,125.000000,4.000000,-1.000000,1.033234,1,461
1461251638,75.000000,8.000000,0.695473,0.816650,1,298
1461251641,300.000000,8.000000,-1.000000,1.733307,1,623
1461251643,200.000000,8.000000,-1.000000,1.066589,1,308
1461251645,0.000000,8.000000,-1.000000,0.899994,2,106
1461251647,25.000000,12.000000,-1.000000,0.816650,1,383
1461251648,150.000000,4.000000,-1.000000,1.583191,2,439
1461251650,125.000000,4.000000,-1.000000,1.133331,1,649
1461251652,400.000000,4.000000,0.306584,1.966522,1,577
1461251657,125.000000,8.000000,-1.000000,0.883240,1,144
1461251658,300.000000,8.000000,0.303155,2.149658,1,849
1461251662,75.000000,4.000000,-1.000000,1.199921,1,594
1461251664,175.000000,4.000000,0.485597,1.399933,1,381
1461251667,300.000000,4.000000,-1.000000,1.433258,1,306
1461251669,0.000000,4.000000,0.951989,0.733337,1,229
1461251672,0.000000,12.000000,-1.000000,0.699951,1,554
1461251673,75.000000,12.000000,-1.000000,0.716614,1,213
1461251675,200.000000,12.000000,-1.000000,1.816681,1,530
1461251698,100.000000,8.000000,-1.000000,1.266571,1,374
1461251700,175.000000,4.000000,-1.000000,1.433167,1,490
1461251702,400.000000,12.000000,-1.000000,2.950012,2,877
1461251706,0.000000,12.000000,-1.000000,0.649963,1,226
1461251707,125.000000,12.000000,0.510288,2.366577,2,561
1461251711,400.000000,4.000000,-1.000000,2.966614,2,660
1461251714,300.000000,8.000000,-1.000000,1.349976,1,431
1461251716,150.000000,12.000000,-1.000000,1.066589,1,424
1461251718,150.000000,12.000000,-1.000000,1.066284,1,420
1461251720,200.000000,4.000000,-1.000000,1.166382,1,398
1461251721,75.000000,4.000000,-1.000000,0.616577,1,128
1461251722,200.000000,12.000000,-1.000000,2.416565,2,770
1461251725,175.000000,4.000000,-1.000000,1.149963,1,468
1461251727,125.000000,8.000000,-1.000000,1.049866,1,537
1461251729,175.000000,4.000000,-1.000000,1.199890,1,490
1461251730,300.000000,4.000000,0.306584,1.516602,1,481
1461251733,100.000000,12.000000,-1.000000,1.049927,2,428
1461251735,50.000000,12.000000,-1.000000,0.883240,1,137
1461251736,150.000000,8.000000,-1.000000,0.983032,1,380
1461251738,75.000000,12.000000,-1.000000,1.216614,1,653
