Time,Delay,Impulse,Response,Elapsed,Clicks,Mouse
1460131751,0.000000,8.000000,0.910837,2.983276,1,759
1460131766,0.000000,8.000000,0.902606,1.216690,1,1275
1460131770,100.000000,12.000000,0.862826,1.783218,2,941
1460131774,125.000000,12.000000,0.887517,1.566620,3,957
1460131779,400.000000,4.000000,-1.000000,3.916397,3,1353
1460131784,175.000000,12.000000,0.936900,1.749969,2,516
1460131791,150.000000,4.000000,-1.000000,1.883179,1,453
1460131794,100.000000,4.000000,-1.000000,0.983261,1,111
1460131796,75.000000,8.000000,-1.000000,1.099945,1,353
1460131797,100.000000,4.000000,-1.000000,1.433258,1,645
1460131799,0.000000,12.000000,0.679012,1.000031,1,507
1460131806,125.000000,8.000000,-1.000000,1.149948,1,285
1460131807,150.000000,4.000000,-1.000000,1.433243,1,533
1460131809,100.000000,8.000000,-1.000000,1.416580,2,776
1460131811,75.000000,12.000000,-1.000000,0.733215,1,221
1460131813,100.000000,8.000000,-1.000000,0.733246,1,150
1460131814,50.000000,8.000000,-1.000000,0.666641,1,259
1460131815,75.000000,4.000000,0.515775,1.049942,1,146
1460131818,125.000000,4.000000,0.694102,1.366592,1,322
1460131823,50.000000,4.000000,-1.000000,1.149918,1,615
1460131825,150.000000,12.000000,0.705075,0.700134,2,191
1460131828,125.000000,12.000000,-1.000000,0.883224,1,443
1460131829,75.000000,12.000000,-1.000000,0.816574,1,367
1460131830,25.000000,8.000000,-1.000000,0.883209,1,563
1460131832,125.000000,8.000000,-1.000000,0.816589,1,297
1460131833,150.000000,8.000000,-1.000000,1.983261,3,1153
1460131836,175.000000,8.000000,-1.000000,2.066513,3,1117
1460131838,75.000000,8.000000,0.516461,0.716599,1,267
1460131841,400.000000,8.000000,0.991084,5.966446,7,2686
1460131851,125.000000,8.000000,-1.000000,1.033066,1,653
1460131873,0.000000,4.000000,-1.000000,1.000000,1,606
1460131875,25.000000,4.000000,-1.000000,0.616470,1,358
1460131876,200.000000,4.000000,-1.000000,1.083359,1,455
1460131878,75.000000,12.000000,-1.000000,1.233185,1,904
1460131880,125.000000,4.000000,-1.000000,1.483246,2,578
1460131881,175.000000,4.000000,-1.000000,1.466583,2,475
1460131883,200.000000,12.000000,-1.000000,0.933319,1,157
1460131885,400.000000,12.000000,-1.000000,5.049774,4,2547
1460131892,200.000000,8.000000,-1.000000,1.416687,2,592
1460131894,150.000000,4.000000,0.501372,0.850006,2,378
1460131897,200.000000,8.000000,-1.000000,1.099915,1,422
1460131899,25.000000,8.000000,0.706447,0.649933,1,167
1460131902,175.000000,4.000000,-1.000000,1.449890,2,953
1460131904,175.000000,4.000000,-1.000000,0.999939,1,728
1460131905,25.000000,12.000000,-1.000000,1.099915,2,739
