Time,Delay,Impulse,Response,Elapsed,Triggers,Thumbstick
1490727257,0.000000,8.000000,0.941959,1.175907,1,24
1490727263,0.000000,8.000000,0.886230,1.259945,1,30
1490727269,125.000000,12.000000,-1.000000,2.004608,1,24
1490727275,300.000000,12.000000,-1.000000,8.811661,4,73
1490727284,50.000000,8.000000,-1.000000,2.093704,1,16
1490727287,175.000000,4.000000,-1.000000,1.090641,1,5
1490727288,150.000000,8.000000,-1.000000,2.525730,1,15
1490727291,75.000000,12.000000,-1.000000,1.302883,1,5
1490727293,125.000000,8.000000,0.284471,2.256664,1,37
1490727299,50.000000,8.000000,-1.000000,1.629776,1,12
1490727302,50.000000,12.000000,-1.000000,1.469742,1,14
1490727304,100.000000,12.000000,-1.000000,2.399826,2,19
1490727307,175.000000,8.000000,0.114939,1.702873,1,25
1490727312,200.000000,12.000000,0.188338,3.235817,1,72
1490727320,0.000000,8.000000,0.628006,1.900024,2,40
1490727325,25.000000,8.000000,0.885527,1.012863,1,20
1490727328,25.000000,4.000000,-1.000000,1.688812,1,25
1490727330,400.000000,4.000000,-1.000000,3.839554,1,49
1490727335,0.000000,12.000000,0.219224,2.211891,1,25
1490727341,75.000000,8.000000,-1.000000,1.898888,1,23
1490727343,50.000000,12.000000,0.660354,1.289833,1,20
1490727347,25.000000,8.000000,-1.000000,1.140671,1,8
1490727349,125.000000,4.000000,-1.000000,1.560898,1,10
1490727351,200.000000,8.000000,-1.000000,4.239838,2,30
1490727356,300.000000,8.000000,-1.000000,5.847977,3,28
1490727363,50.000000,8.000000,-1.000000,1.825851,2,4
1490727365,75.000000,4.000000,-1.000000,2.270844,1,12
1490727368,50.000000,4.000000,-1.000000,1.677887,1,11
1490727370,100.000000,4.000000,-1.000000,1.451859,1,14
1490727372,100.000000,4.000000,-1.000000,1.867859,1,11
1490727396,175.000000,4.000000,-1.000000,1.738861,2,12
1490727399,100.000000,4.000000,-1.000000,0.748077,1,3
1490727400,300.000000,4.000000,-1.000000,4.303940,3,41
1490727405,0.000000,4.000000,-1.000000,1.276001,1,6
1490727406,75.000000,12.000000,0.567583,0.970917,1,7
1490727411,200.000000,8.000000,-1.000000,3.439987,2,16
1490727415,300.000000,8.000000,-1.000000,1.415970,1,6
1490727417,150.000000,8.000000,-1.000000,0.977859,1,4
1490727419,0.000000,4.000000,-1.000000,0.799957,1,6
1490727420,300.000000,8.000000,0.188711,1.331604,1,25
1490727425,175.000000,12.000000,0.257710,4.150925,2,52
1490727431,300.000000,4.000000,-1.000000,3.595795,1,18
1490727436,25.000000,4.000000,-1.000000,1.644882,1,3
1490727438,75.000000,8.000000,-1.000000,1.646835,2,6
1490727440,125.000000,12.000000,-1.000000,1.316803,2,8
1490727442,50.000000,12.000000,-1.000000,1.881989,1,6
1490727445,400.000000,4.000000,-1.000000,3.311508,1,24
1490727449,125.000000,4.000000,0.450305,2.972641,1,21
1490727454,200.000000,12.000000,-1.000000,0.991837,1,2
1490727456,50.000000,4.000000,-1.000000,1.453644,1,10
1490727458,25.000000,8.000000,-1.000000,1.364807,1,10
1490727459,50.000000,12.000000,-1.000000,1.505768,1,7
1490727461,75.000000,12.000000,-1.000000,0.758865,1,7
1490727463,0.000000,4.000000,-1.000000,0.783951,2,5
1490727464,150.000000,4.000000,-1.000000,1.817856,1,21
1490727467,200.000000,4.000000,-1.000000,1.055893,1,9
1490727469,25.000000,4.000000,-1.000000,0.740936,1,12
