user_id	turn	x_curs	y_cursl	x_targ	y_targ	angle	min_tim	lag	dist	elapsed	targ_dist_trvl	mouse_dist_trvl
1841002	21	1029.0	740.0	1037.8264467966014	784.2363812579257	0	0	250	45.10835388095863	1738.6701107025146	0.0	593.9695025662617
1841002	22	1213.0	1199.0	1079.5137471528815	984.7670894499065	90	150	250	252.41695597152187	1234.1852188110352	657.016891210175	1431.3834559628472
1841002	23	1205.0	504.0	1155.0046028851827	555.5792294799808	0	0	250	71.83283821774548	1235.1858615875244	0.0	344.57093834711344
1841002	24	1108.0	788.0	1090.7927866868936	751.3051451559951	0	0	250	40.52900889517701	1266.228199005127	0.0	284.6761169545717
1841002	25	1178.0	697.0	1170.7177887773287	685.7715544671086	360	0	62.5	13.383145720521387	952.9149532318115	87.96298017971559	391.7038752437823
1841002	26	492.0	126.0	455.8940049336641	61.624722206194036	90	75	62.5	73.80934406130403	995.9561824798584	569.2448798216204	932.8211221413744
1841002	27	406.0	691.0	792.2124148820837	523.9433229663797	360	0	250	420.794442395056	1562.5121593475342	307.3100468563388	1510.450813862331
1841002	28	1195.0	196.0	1212.1645111522369	459.42936482123605	360	75	250	263.9879745238694	1793.722152709961	306.10657505579144	991.8168094096168
1841002	29	981.0	0.0	1009.1232034971468	-47.94911628625981	90	150	62.5	55.58805921756217	854.8219203948975	460.46678538132954	941.5397724218091
1841002	30	911.0	324.0	801.7273351274498	371.8805350612138	360	150	62.5	119.30239279283876	1886.8129253387451	517.6119562996903	1358.4268101805917
1841002	31	233.0	862.0	267.7309338027245	908.6915321941984	0	0	125	58.19224124787685	1276.2248516082764	946.0000000000008	965.9683852176477
1841002	32	967.0	695.0	951.9507018312671	659.9703492717179	0	0	0	38.12555318309316	503.48401069641113	153.00000000000003	108.30649375687815
1841002	33	1628.0	987.0	1906.8124834567025	1061.2769459733545	0	0	125	288.53676652104946	1261.21187210083	946.0000000000001	925.0427441693244
1841002	34	0.0	487.0	-410.35300915042694	639.9897855785542	0	0	250	437.94459308248383	1538.4738445281982	1375.0	1261.8990599486042
1841002	35	792.0	669.0	784.76364492433	640.7359433656791	360	0	125	29.175704485226657	1572.5109577178955	89.87255335212194	495.58220272692625
1841002	36	1583.0	554.0	1355.0076596207932	569.540273727272	0	75	0	228.52134994154622	912.8749370574951	495.9999999999998	935.2723332030184
1841002	37	884.0	1112.0	799.1046541128401	1249.4667254761785	0	75	62.5	161.56831485920603	935.899019241333	496.00000000000045	690.2901954700162
1841002	38	942.0	73.0	865.2811693909686	100.68054173046491	0	0	62.5	81.55974105224506	1005.964994430542	595.0000000000002	993.3238920644236
1841002	39	352.0	1124.0	426.62560626546747	1220.0208082991196	90	75	62.5	121.60993683455663	1319.267988204956	821.9941967988634	1260.085819326076
1841002	40	780.0	591.0	763.397894515574	563.290163183547	0	0	125	32.30270829064439	1261.21187210083	0.0	491.6059397833427
1841002	41	1232.0	942.0	1225.1205957593604	848.6644404509649	360	150	125	93.58874333507	1381.3269138336182	355.38149742027963	939.8207438717758
1841002	42	512.0	40.0	433.2283737613045	-83.9223725755329	0	150	125	146.83910761455184	1045.00412940979	666.0	776.1679819335567
1841002	43	0.0	1199.0	-182.79028462278708	865.1384037140102	0	150	250	380.6256082124648	1442.3861503601074	1225.0	1792.6416730763622
1841002	44	1334.0	333.0	1265.396456813385	441.1381493470028	360	75	125	128.06367744974546	1708.6400985717773	523.2158374233142	884.9016824024307
1841002	45	1919.0	630.0	2131.440946242448	678.7936918193824	0	0	250	217.97242945324865	1434.3688488006592	1224.999999999999	1106.45579790534
1841002	46	653.0	210.0	583.6588445696342	279.5630888104945	90	0	125	98.22025840566137	1501.4410018920898	503.9134685375898	860.4162052734848
1841002	47	1729.0	1118.0	1894.5597072618446	1092.2087744557857	90	75	125	167.5565695032582	1269.2170143127441	870.9462144458237	1288.7629488822001
1841002	48	413.0	778.0	325.4862264094281	849.2465082751858	90	75	62.5	112.84824105615465	1282.2301387786865	890.0448509735328	1025.3172212513377
1841002	49	1189.0	88.0	1074.849118673578	38.72206222792548	90	150	0	124.33317682206679	984.9538803100586	516.9944012233226	1033.4021949557032
1841002	50	1135.0	396.0	1083.259638485536	412.9255495778589	360	150	0	54.43839856351383	998.9590644836426	88.25447825058913	374.6030545609492
1841002	51	709.0	1017.0	735.7823313486748	1035.493225908926	360	150	0	32.546776752679826	1080.0330638885498	382.0709121936348	548.7675449997727
1841002	52	1108.0	34.0	1098.0493114683588	-31.91472903244422	0	0	125	66.66159093266738	1069.0388679504395	703.0	968.9409996911714
1841002	53	791.0	922.0	772.1979063313092	922.6787703435194	360	0	0	18.814341750522726	968.9350128173828	176.0737661692463	511.7658001255245
1841002	54	784.0	510.0	782.702688913749	507.44913030346436	0	0	62.5	2.8618092639471513	1111.0641956329346	0.0	400.96989498214776
1841002	55	1919.0	802.0	2114.0768995568496	710.8082369859236	0	150	250	215.33911484523352	1298.2470989227295	990.0000000000002	1253.6167937690013
1841002	56	828.0	445.0	881.626003922996	617.7551475432911	360	150	125	180.88695171143064	1636.584997177124	362.57278707045964	1248.7266981538457
1841002	57	703.0	219.0	725.6157589698263	303.6913855585293	360	150	125	87.65901745744556	1003.9651393890381	252.2243806010704	518.9106601634961
1841002	58	252.0	519.0	111.67137195129652	598.3335406586368	0	0	125	161.20153387442363	1189.1429424285889	820.0000000000001	877.4396637545503
1841002	59	1153.0	615.0	1162.7048670139416	590.8550531882464	360	0	62.5	26.02235385780273	1015.9749984741211	70.29603818142856	300.42246316447114
1841002	60	451.0	607.0	542.4593013665664	683.5097665520811	90	150	62.5	119.24155393282311	870.8369731903076	416.1213046455273	956.1809065973772
1841002	61	1098.0	272.0	1175.820176723416	282.07409505699957	0	75	125	78.46953100714407	955.9190273284912	561.0000000000001	438.2875738768943
1841002	62	977.0	729.0	877.9670805620093	778.8681275146696	0	75	125	110.87988669831378	772.7410793304443	378.00000000000006	342.68108146232584
1841002	63	1314.0	221.0	1202.5740975723238	323.0834852129158	360	150	62.5	151.1183962495553	981.9419384002686	227.8090697026874	1034.9817139680267
1841002	64	1098.0	543.0	1106.013019491666	539.4863471730007	360	75	0	8.749527847975537	672.652006149292	63.53217571266071	241.91690088216023
1841002	65	735.0	622.0	652.2031055501801	590.2097503496852	360	0	125	88.69016689218682	1197.1499919891357	145.32978372058585	562.5835290455316
