Time,Delay,Impulse,Response,Elapsed,Clicks,Mouse
1461873699,0.000000,8.000000,0.907407,1.050072,1,548
1461873714,0.000000,8.000000,0.503429,0.916710,1,274
1461873719,400.000000,8.000000,-1.000000,4.149834,1,3941
1461873725,175.000000,12.000000,-1.000000,2.033264,1,1047
1461873728,400.000000,4.000000,-1.000000,2.333267,2,588
1461873732,125.000000,12.000000,-1.000000,2.633209,3,1355
1461873735,400.000000,4.000000,-1.000000,1.666656,2,1010
1461873738,300.000000,8.000000,-1.000000,1.083298,3,705
1461873740,300.000000,4.000000,-1.000000,0.883255,2,447
1461873742,75.000000,8.000000,-1.000000,1.133240,5,506
1461873743,100.000000,12.000000,-1.000000,0.716660,2,277
1461873745,200.000000,4.000000,0.320988,0.783310,5,451
1461873750,175.000000,12.000000,0.517147,0.766663,4,628
1461873754,75.000000,4.000000,-1.000000,1.266586,5,800
1461873756,25.000000,8.000000,-1.000000,0.483307,1,325
1461873757,175.000000,8.000000,-1.000000,1.499634,2,715
1461873759,75.000000,12.000000,-1.000000,0.933258,1,591
1461873760,125.000000,8.000000,-1.000000,1.166580,2,538
1461873762,300.000000,4.000000,-1.000000,1.783264,2,541
1461873764,75.000000,4.000000,0.109054,0.866562,1,526
1461873768,175.000000,4.000000,-1.000000,1.400116,3,564
1461873770,150.000000,8.000000,-1.000000,0.783340,2,562
1461873772,100.000000,4.000000,-1.000000,0.566559,1,372
1461873773,200.000000,12.000000,-1.000000,1.266602,4,1016
1461873775,25.000000,4.000000,0.303155,0.733292,4,613
1461873777,0.000000,8.000000,-1.000000,0.450012,2,412
1461873778,50.000000,4.000000,0.687243,0.533279,2,335
1461873781,25.000000,12.000000,0.742798,1.166626,4,892
1461873785,200.000000,4.000000,-1.000000,0.649994,2,663
1461873786,150.000000,4.000000,0.475309,0.599869,1,237
1461873808,300.000000,12.000000,-1.000000,1.116653,2,585
1461873810,25.000000,4.000000,-1.000000,0.333237,1,127
1461873810,150.000000,8.000000,-1.000000,1.116653,4,782
1461873812,0.000000,8.000000,-1.000000,0.633453,3,380
1461873813,75.000000,12.000000,-1.000000,0.533295,2,152
1461873814,125.000000,8.000000,0.497942,0.649338,3,488
1461873818,150.000000,8.000000,-1.000000,0.683594,2,265
1461873819,100.000000,12.000000,0.683128,0.566589,2,468
1461873822,0.000000,4.000000,0.911523,0.416672,1,136
1461873825,75.000000,12.000000,0.518519,0.649902,3,875
1461873828,150.000000,8.000000,-1.000000,1.133286,4,379
1461873830,200.000000,12.000000,-1.000000,0.766724,2,440
1461873831,0.000000,4.000000,-1.000000,0.516861,2,254
1461873832,300.000000,8.000000,-1.000000,1.083328,3,521
